track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Melophobia,Cigarette Daydreams,79,208760,False,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,4,punk-rock
7tYKa4wd7gL5LwcxidBPkG,We The Kings;Elena Coates,Somewhere Somehow,Sad Song (feat. Elena Coats),49,226330,False,0.512,0.526,1,-5.44,1,0.0251,0.0724,0.0,0.0675,0.249,85.024,4,punk-rock
3CmUas41TD2t8EGNZ85J9f,blink-182,Emo Christmas 2022,"Happy Holidays, You Bastard",3,42440,True,0.409,0.99,11,-2.084,1,0.115,0.02,0.0,0.513,0.962,172.715,4,punk-rock
3IgHYw4c6PJ5ZZscM1158w,blink-182,12 Days of Christmas 2022,I Won't Be Home For Christmas,2,198093,False,0.347,0.942,7,-5.517,1,0.0913,0.00196,0.0,0.338,0.66,200.025,4,punk-rock
5nlwgUs9iUPoRr8kPEHONO,blink-182,Halloween Party Canzoni per Bambini 2022,Ghost On The Dance Floor,0,257519,True,0.532,0.969,11,-3.967,1,0.0581,2.41e-05,0.0265,0.0912,0.547,103.511,4,punk-rock
2r79Mo4a2XG5kU4kgiXsns,blink-182,Halloween Scary Party,Ghost On The Dance Floor,0,257519,True,0.532,0.969,11,-3.967,1,0.0581,2.41e-05,0.0265,0.0912,0.547,103.511,4,punk-rock
2uGos1lTJU2Qd6UpPyRJSP,blink-182,Обратно в клас - rock,I Miss You,4,227813,False,0.652,0.766,11,-6.481,1,0.0345,0.000761,6.34e-06,0.0739,0.641,110.011,4,punk-rock
1UEj7RpdqH02grDvdxTKLP,All Time Low,Alternative Christmas 2022,"Merry Christmas, Kiss My Ass",0,199253,False,0.574,0.966,4,-3.034,1,0.0685,0.0141,0.0,0.43,0.788,128.034,4,punk-rock
3YZYk5HPmrO5GUxY3g6R99,All Time Low,Alternative Christmas 2022,"Merry Christmas, Kiss My Ass",0,199253,False,0.574,0.966,4,-3.034,1,0.0685,0.0141,0.0,0.43,0.788,128.034,4,punk-rock
4IPD2ahXpRL6juxejxDSHh,blink-182,Alternative Christmas 2022,"Happy Holidays, You Bastard",0,42440,True,0.409,0.99,11,-2.084,1,0.115,0.02,0.0,0.513,0.962,172.715,4,punk-rock
7EsuEeyUWYAryo789YrxR6,blink-182,Halloween Kids Party 2022,Adam's Song,0,249626,False,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.383,136.02,4,punk-rock
5KoRwyRC1Yp3fTQQuZeMbM,Jimmy Eat World,Alternative Christmas 2022,Christmas Card,0,173560,False,0.196,0.93,11,-5.131,1,0.0519,0.0116,0.00214,0.105,0.566,194.319,4,punk-rock
56GH1HDx3NzS4wDDdNQVe9,All Time Low,Just Best Covers,Blinding Lights,1,193151,False,0.449,0.886,8,-2.501,1,0.0624,0.00248,7.48e-05,0.0743,0.61,171.016,4,punk-rock
1jJ893m6WM9aztKtzYmNJY,blink-182,OO's Music Grandi Successi,All The Small Things,2,171066,False,0.442,0.9,0,-5.032,1,0.0529,0.0109,0.0,0.395,0.609,148.62,4,punk-rock
6DulvzWONaGcej1H2pj3i2,All Time Low,Emo Christmas 2022,"Merry Christmas, Kiss My Ass",2,199253,False,0.574,0.966,4,-3.034,1,0.0685,0.0141,0.0,0.43,0.788,128.034,4,punk-rock
1kVp5JBxCwO8o87YbKEd5f,The All-American Rejects,De ese gran pop de los 00's,Gives You Hell,0,214306,False,0.725,0.675,4,-6.8,1,0.0368,0.0165,0.0,0.0537,0.595,99.979,4,punk-rock
3Xi6BMBRtkRyfOxNlfvCcv,blink-182,Alternative Christmas 2022,I Won't Be Home For Christmas,0,198093,False,0.347,0.942,7,-5.517,1,0.0913,0.00196,0.0,0.338,0.66,200.025,4,punk-rock
2vOxTlFJnVmv5BBWwRAgkP,All Time Low,All Bops,Blinding Lights,0,193151,False,0.449,0.886,8,-2.501,1,0.0624,0.00248,7.48e-05,0.0743,0.61,171.016,4,punk-rock
4B8ROu7Pp6tbRMzbJQGixj,blink-182,Rock & Halloween,Ghost On The Dance Floor,4,257519,True,0.532,0.969,11,-3.967,1,0.0581,2.41e-05,0.0265,0.0912,0.547,103.511,4,punk-rock
2ziXC5o41KXiw3LoG8p82t,All Time Low,Tek It - New Noise,Blinding Lights,0,193151,False,0.449,0.886,8,-2.501,1,0.0624,0.00248,7.48e-05,0.0743,0.61,171.016,4,punk-rock
7znniOrVgnRjxIfwHjA9m6,blink-182,Alternative Christmas 2022,"Happy Holidays, You Bastard",0,42440,True,0.409,0.99,11,-2.084,1,0.115,0.02,0.0,0.513,0.962,172.715,4,punk-rock
6vMAhCWv2XzOqXj6pYTh5H,Jimmy Eat World,Alternative Christmas 2022,Last Christmas,0,267493,False,0.532,0.842,2,-6.152,1,0.0403,0.00131,1.2e-06,0.33,0.715,126.042,4,punk-rock
00IiTu5o9IVasXMX3udpZo,Simple Plan,Holly Jolly Christmas,Christmas Every Day,0,226019,False,0.306,0.939,2,-4.335,1,0.127,0.0117,0.0,0.102,0.495,186.059,4,punk-rock
2LGj1sOH9OEN5y1fF3TPoL,The Smiths,Alternative Rock Mixtape,How Soon Is Now?,1,408173,False,0.398,0.93,11,-6.76,1,0.0599,0.000854,0.121,0.0874,0.73,190.84,4,punk-rock
5XRNXsQhowtR0AbhaI7kIb,blink-182,90's Music Grandi Successi,All The Small Things,2,171066,False,0.442,0.9,0,-5.032,1,0.0529,0.0109,0.0,0.395,0.609,148.62,4,punk-rock
2S9yxu8MLsL0CXoSdGuues,Jimmy Eat World,Alternative Christmas 2022,Last Christmas,0,267493,False,0.532,0.842,2,-6.152,1,0.0403,0.00131,1.2e-06,0.33,0.715,126.042,4,punk-rock
2k08TgL2Sl0LvSjA4fFicn,blink-182,Halloween Kids Party 2022,All The Small Things,0,171066,False,0.442,0.9,0,-5.032,1,0.0529,0.0109,0.0,0.395,0.609,148.62,4,punk-rock
0D3Z0cjHZ7YSUnFi3EEkdV,blink-182,Halloween Party Canzoni per Bambini 2022,All The Small Things,0,171066,False,0.442,0.9,0,-5.032,1,0.0529,0.0109,0.0,0.395,0.609,148.62,4,punk-rock
4StfPt5v3Y4S3t2ZgzOJMa,Simple Plan,Christmas Music - Holiday Hits,Christmas Every Day,0,226019,False,0.306,0.939,2,-4.335,1,0.127,0.0117,0.0,0.102,0.495,186.059,4,punk-rock
3htVxgwWQZ88VbucbOJkjO,blink-182,Rock Workout 2023,What's My Age Again?,4,148360,True,0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,4,punk-rock
